Unnamed: 0,Şehir,Parti,Meslek,Doğum Yeri,Doğum Yılı
Sabri ÖZTÜRK,Giresun,AK Parti,avukat,Giresun,1973
GÜMÜŞHANE,,,,,
Cihan PEKTAŞ,Gümüşhane,AK Parti,iktisatçı,Gümüşhane,1970
Hacı Osman AKGÜL,Gümüşhane,AK Parti,mühendis,Gümüşhane,1960
HAKKARİ,,,,,
Husret DİNÇ,Hakkari,AK Parti,kamu yöneticisi,yurt dışı,1969
Sait DEDE,Hakkari,HDP,doktor,Hakkari,1985
HATAY,,,,,
Abdulkadir ÖZEL,Hatay,AK Parti,danışman,Hatay,1979
Barış Atay MENGÜLLÜOĞLU,Hatay,TİP,yönetmen,yurt dışı,1981
Hacı Bayram TÜRKOĞLU,Hatay,AK Parti,eczacı,Hatay,1954
Hüseyin ŞANVERDİ,Hatay,AK Parti,iş insanı,Hatay,1963
Hüseyin YAYMAN,Hatay,AK Parti,akademisyen,Hatay,1969
İsmet TOKDEMİR,Hatay,CHP,iş insanı,Hatay,1959
Lütfi KAŞIKÇI,Hatay,MHP,mimar,Hatay,1982
Mehmet GÜZELMANSUR,Hatay,CHP,mühendis,Antakya,1967
Sabahat ÖZGÜRSOY ÇELİK,Hatay,AK Parti,avukat,Ankara,1982
Serkan TOPAL,Hatay,CHP,öğretmen,Hatay,1976
Suzan ŞAHİN,Hatay,CHP,avukat,Hatay,1968
IĞDIR,,,,,
Habip EKSİK,Iğdır,HDP,doktor,Iğdır,1985
Yaşar KARADAĞ,Iğdır,MHP,öğretmen,Iğdır,1976
ISPARTA,,,,,
Aylin CESUR,Isparta,İYİ Parti,doktor,Eskişehir,1970
Mehmet Uğur GÖKGÖZ,Isparta,AK Parti,iş insanı,Isparta,1968
Recep ÖZEL,Isparta,AK Parti,avukat,Isparta,1969
Süreyya Sadi BİLGİÇ,Isparta,AK Parti,iktisatçı,Ankara,1961
İSTANBUL,,,,,
Abdul Ahat ANDİCAN,İstanbul,İYİ Parti,doktor,yurt dışı,1950
Abdullah GÜLER,İstanbul,AK Parti,müşavir,Sivas,1969
Ahmet ÇELİK,İstanbul,İYİ Parti,yönetici,Ağrı,1957
Ahmet ŞIK,İstanbul,TİP,gazeteci,Adana,1970
Ahmet Berat ÇONKAR,İstanbul,AK Parti,işletmeci,Ankara,1976
Ahmet Hamdi ÇAMLI,İstanbul,AK Parti,tüccar,İstanbul,1865
Ahmet Mücahit ARINÇ,İstanbul,AK Parti,yönetici,Manisa,1986
Ahmet Ünal ÇEVİKÖZ,İstanbul,CHP,diplomat,İstanbul,1952
Akif Çağatay KILIÇ,İstanbul,AK Parti,akademisyen,yurt dışı,1976
Alev DEDEGİL,İstanbul,AK Parti,yönetici,İstanbul,1958
Ali KENANOĞLU,İstanbul,HDP,mali müşavir,Tokat,1971
Ali ŞEKER,İstanbul,CHP,cerrah,Sivas,1968
